date	role	query	anchors_served	hit
2026-07-27T22:25:44Z	coding	--paths crates/simthing-driver/src/order_directive.rs crates/simthing-driver/src/session.rs crates/simthing-driver/src/spec_session.rs crates/simthing-driver/src/install.rs crates/simthing-spec/src/validate_order_weight.rs crates/simthing-spec/src/spec/order_weight.rs crates/simthing-spec/src/spec/overlay.rs crates/simthing-clausething/src/hydrate.rs crates/simthing-driver/tests/order_weight_class_0.rs docs/design_0_0_8_7_rf_arena_modernization.md scripts/ci/test_inventory.tsv scripts/ci/anchor_reach_log.tsv	clausething-closed-vertical,field-policy-time-decisions,founding-ontology-invariants,one-tree-owners-never-spatial,orientation-harness-core,property-value-rf-overlays,rf-arena-substrate,scanner-selftest-delta-gate,simthing-0087-binding-laws,simthing-0087-pillars,stead-spatial-contract-core,structural-execution-convergence,workshop-candidate-homing	hit
2026-07-27T22:26:01Z	coding	--grep simthing-0087-binding-laws	simthing-0087-binding-laws	hit
2026-07-27T22:26:01Z	coding	--grep rf-arena-substrate	rf-arena-substrate	hit
2026-07-27T22:26:01Z	coding	--grep simthing-0087-pillars	simthing-0087-pillars	hit
2026-07-27T22:26:07Z	coding	--grep property-value-rf-overlays	property-value-rf-overlays	hit
2026-07-27T22:26:07Z	coding	--grep one-tree-owners-never-spatial	one-tree-owners-never-spatial	hit
2026-07-27T22:26:07Z	coding	--grep founding-ontology-invariants	founding-ontology-invariants	hit
2026-07-27T22:26:15Z	coding	--grep orientation-harness-core	orientation-harness-core	hit
2026-07-27T22:26:15Z	coding	--grep scanner-selftest-delta-gate	scanner-selftest-delta-gate	hit
2026-07-27T22:53:55Z	coding	--grep test inventory	none	none
2026-07-27T22:53:55Z	coding	--grep doctrine scan	none	none
2026-07-27T22:53:55Z	coding	--grep clearance	admission-ladder-necessity-test,exact-numeric-candidate-f,orientation-harness-core,simthing-0087-binding-laws,spec-fidelity-anti-ceremony,workshop-candidate-homing	hit
2026-07-27T22:53:55Z	coding	--grep gate wiring	none	none
2026-07-28T05:21:00Z	coding	--grep projected	movement-front	hit
2026-07-28T05:21:00Z	coding	--grep librarian	none	none
2026-07-28T05:21:00Z	coding	--grep ingest	clausething-closed-vertical	hit
2026-07-28T05:21:15Z	coding	--domain core-0087	rf-arena-substrate,simthing-0087-binding-laws,simthing-0087-pillars	hit
2026-07-28T12:52:07Z	coding	--grep EML|JIT|EvalEML	none	none
2026-07-28T12:52:22Z	coding	--paths docs/eml_gadget_library.md docs/eml_integration_guidance.md docs/tests/oc_k_eml_opcode_gate_0_results.md docs/tests/phase_m_jit_sqrt_exact5f_exhaustive_sweep_results.md	none	none
2026-07-28T12:52:56Z	coding	--domain field-policy	field-policy-time-decisions	hit
